Site,Participant_ID,RowNumber,session_id,attention,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,bestgrade3,bestgrade4,bestgrade5,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,ethnicity,feedback,gender,instructbig5,instructintrinsic,instructmli,instructnfc,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,lposition,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mcmost1,mcmost2,mcmost3,mcmost4,mcmost5,mcsome1,mcsome2,mcsome3,mcsome4,mcsome5,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,worstgrade3,worstgrade4,worstgrade5,year,Station,Date.x,Experimenter,Temperatureinlab,OrderofTasks,ClipboardWeight,IIResponse,SRCondition,SRMeetingResponse,SRConfidenceResponse,SRTFCorrect,Notes,StartDate.x,EndDate,NumberofDays,Pool1,Pool2a,Pool2b,Pool2c,Pool2d,Pool2e,Pool3,Pool4,Pool5a,Pool5b,Pool6,Pool7a,Pool7b,Pool7c,Pool7d,Pool7e,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool16c,Pool17,Pool18,Pool19a,Pool19b,Pool20,ClipBoardMaterial,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bestgrade_order,bigfive_order,compcode_order,consent_order,debrief_order,demographics_order,elmques_order,elmstrong_order,elmweak_order,filler1_order,filler2_order,galinskyvignette_order,highpower_order,inlab_order,intrinsic_order,lowpower_order,mcfiller_order,mcmost_order,mcsome_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempagenf_order,tempagenm_order,tempcomf_order,tempcomm_order,tempestimate_order,tempfollowup_order,welcome_order,worstgrade_order,session_date,DateComputer,TimeComputer,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,Date.y,MonthLab,DayLab,YearLab,DaysSinceMonthLab,DaysSinceAugLab,StartDate.y,MonthStart,DayStart,YearStart,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,AttentionCheck,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,PowerCond,MostEndorse,SomeEndorse,CredCond,Genderfactor,SubDistCond,K1st,L1st,N1st,R1st,V1st,AvailFirst,AvailSign,TempCond4,TempCond,TargetGender,ArgumentQuality,NFCcenter,ELMCond,CBReject
MontanaStateUniversity,14,515,7428064,4,357,330,354,351,348,345,342,339,336,333,10,6,1,5,7,7,3,6,1,7,1,5,1,4,2,5,9,7,4,This Stroop task has no feedback,1,1,1,1,1,4,4,4,4,3,2,1,4,4,4,4,4,4,4,4,1,1,0,3,3,0,2,2,2,2,2,2,5,1,0,-1,-1,2,1,2,1,1,5,5,1,1,5,5,1,1,1,2,1,7,1,5,5,1,4,2,6,6,5,2,9,2,5,1,1,9/18/14,Katie L.,72,II-SR,20,7,A,Friday,5,Yes,none,9/8/14,12/5/14,88,1,1,1,0,0,0,5,1,1,5,0,1,0,0,0,0,0,1,1,2,62,600,3000,600,1,0,0,1,0,0,0,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Plastic,90.00000281,15,33,9,10,13,14,11,12,23,27,NA,NA,36,35,21,20,20,6,7,8,5,22,28,5,3,2,2,4,32,31,37,29,34,0,30,19,16,18,17,20,23,6,24,26,25,1,-5,9/18/14 12:25,9/18/14,12:25,9,18,14,31,49,9/18/14,9,18,14,31,49,9/8/14,9,8,14,31,39,0.113636364,0.113636364,Pass,6.5,7,6,4,3,3.866666667,6.5,4.5,5,5,7,1,LowPower,5,0,Credentials,Female,BestGrade,1,1,1,0,0,3,+,CommunalMale,Communal,MaleTarget,5.4,1.317460317,1,0
UCRiverside,185,1934,7567597,5,357,330,354,351,348,345,342,339,336,333,8,4,1,7,3,7,5,7,2,7,2,5,4,5,3,4,1,1,4,This Stroop task has no feedback,1,1,1,1,1,2,1,1,3,4,4,3,3,4,4,2,2,4,3,4,1,1,0,3,1,0,1,2,2,2,2,2,5,1,0,-1,-1,3,2,3,2,3,2,3,2,2,4,4,1,1,1,2,6,7,2,5,5,2,5,4,7,7,5,2,8,2,5,3,3,11/18/14,DE,73.9,II-SR,10,7,C,Monday,4,N/A,Participant leaned against the wall during the clipboard portion. Participant also asked for clarification on the program that the study was based on (Is the program supposed to time-out when you do not complete the task in time?),10/2/14,12/12/14,71,1,1,0,1,0,0,4,0.5,0,3,0,1,0,0,0,0,1,1,1,5,55,1350,5400,300,1,0,0,3,1,1,0,"We have course assistants that record participation points, but we don_t have anyone overseeing the participant pool overall, so no one allocates hours to researchers. It operates on a _first come, first served_ basis. Our psychology program is solely undergraduate, so most users are either faculty with undergrad research assistants and honors students running their projects.",Plastic,241.0000042,12,27,21,25,26,23,22,24,5,32,NA,NA,36,35,11,10,9,18,19,20,17,16,34,17,14,13,13,15,31,29,37,28,33,0,30,9,6,8,7,20,3,15,2,4,3,1,-1,11/18/14 14:09,11/18/14,14:09,11,18,14,92,110,11/18/14,11,18,14,92,110,10/2/14,10,2,14,61,63,0.661971831,0.661971831,Pass,5.5,6.5,6.5,6,4,2.666666667,5.5,3.166666667,4,4,7,1.5,LowPower,5,0,Credentials,Female,BestGrade,1,1,0,0,0,2,-,CommunalMale,Communal,MaleTarget,2.8,-0.015873016,1,0
UCRiverside,78,1405,7510758,5,357,330,354,351,348,345,342,339,336,333,8,2,5,4,5,5,4,4,4,6,5,5,7,5,5,4,5,5,2,This Stroop task has no feedback,1,1,1,1,1,2,1,1,2,1,4,4,4,2,3,2,1,3,2,3,1,1,-2,1,2,1,2,1,1,1,1,2,5,1,0,-1,-1,3,3,3,4,3,1,3,4,1,3,3,1,2,2,2,1,4,4,4,4,2,5,3,5,7,6,1,9,2,4,2,5,10/24/14,KJ/JS,74.3,II-SR,20,4,C,Monday,4,N/A,The particpant was sitting on the table,10/2/14,12/12/14,71,1,1,0,1,0,0,4,0.5,0,3,0,1,0,0,0,0,1,1,1,5,55,1350,5400,300,1,0,0,3,1,1,0,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Plastic,90.00000281,6,30,13,16,17,14,18,15,7,34,NA,NA,36,35,20,19,19,3,4,5,1,12,32,2,25,24,23,26,33,28,37,27,29,0,31,11,8,10,9,13,3,5,21,23,22,1,-1,10/24/14 13:04,10/24/14,13:04,10,24,14,61,85,10/24/14,10,24,14,61,85,10/2/14,10,2,14,61,63,0.309859155,0.309859155,Fail,2.5,4,4,4.5,3.5,1.933333333,5,2.333333333,3,3,4,2.5,LowPower,1,0,Credentials,Female,BestGrade,1,1,1,0,1,4,+,CommunalMale,Communal,MaleTarget,4.8,-0.849206349,1,0
UCRiverside,173,1902,7562913,5,357,331,354,351,348,345,342,339,336,333,7,4,1,7,7,7,2,6,5,5,1,5,5,7,3,6,2,3,2,This Stroop task has no feedback,1,1,1,1,1,3,2,2,4,4,4,4,4,4,4,4,2,4,4,4,1,1,0,2,2,0,1,1,1,1,2,2,5,1,0,-1,-1,4,4,5,2,4,2,4,1,1,5,4,1,2,4,2,4,5,2,5,4,2,6,2,7,7,4,1,8,2,4,1,2,11/17/14,LN,73.9,II-SR,10,7,C,Monday,5,N/A,Participant came outside only after she was told to come out,10/2/14,12/12/14,71,1,1,0,1,0,0,4,0.5,0,3,0,1,0,0,0,0,1,1,1,5,55,1350,5400,300,1,0,0,3,1,1,0,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Plastic,43.9999952,23,34,2,3,7,4,5,6,22,33,NA,NA,36,35,12,11,11,14,15,16,13,17,31,13,9,8,8,10,28,32,37,29,30,0,27,21,18,20,19,23,3,23,24,26,25,1,0,11/17/14 12:15,11/17/14,12:15,11,17,14,92,109,11/17/14,11,17,14,92,109,10/2/14,10,2,14,61,63,0.647887324,0.647887324,Pass,4.5,7,5,3,2.5,3.133333333,4,3.666666667,5,4,5,1.75,LowPower,2,0,Credentials,Female,BestGrade,1,1,1,0,1,4,+,CommunalMale,Communal,MaleTarget,4.2,0.484126984,1,0
PacificLutheranUniversity,104,2304,7608411,4,357,330,354,351,348,345,342,339,336,333,7,1,1,1,6,5,7,5,7,4,4,3,3,9,9,9,9,9,6,This Stroop task has no feedback,1,1,1,1,1,2,1,1,3,3,3,3,3,2,4,3,2,4,4,4,2,2,0,3,2,1,1,2,2,2,2,2,5,1,0,-1,-1,3,3,2,4,4,2,3,2,2,2,3,1,1,5,1,4,1,3,3,3,2,6,4,7,7,4,2,8,2,4,2,20,12/3/14,Hannah,74,"SR, II",20,7,A,Saturday,4,Yes,computer error after ID input,9/15/14,12/12/14,88,1,1,1,0,0,0,5,0.5,0,5,0,1,1,1,0,0,0,0,1,2,18,165,750,105,1,0,0,3,1,0,0,"In case you need some history regarding our pool: As of Fall 2013, students in Intro. Psych. are required to complete 5 credit hours during the semester.  For about a year prior to Fall 2013, students were required to complete 2 credit hours.  For about 4 years prior to that, students were required to complete 1 credit hour.  We started our participant pool in Fall 2008.",Plastic,33.99999852,25,31,3,4,8,6,7,5,26,27,NA,NA,36,35,17,16,16,22,23,24,21,2,32,21,19,18,18,20,30,34,37,28,29,0,33,12,9,11,10,20,18,18,13,15,14,1,-1,12/3/14 13:41,12/3/14,13:41,12,3,14,122,125,12/3/14,12,3,14,122,125,9/15/14,9,15,14,31,46,0.897727273,0.897727273,Pass,5,4.5,1,3,6,2.666666667,5,2.5,2,3,1,2.75,LowPower,5,0,Credentials,Female,BestGrade,0,0,0,1,0,1,-,CommunalMale,Communal,MaleTarget,9,-0.682539683,1,0
AshlandUniversity,7,165,7381253,5,357,330,354,351,348,345,342,339,336,333,7,1,1,1,5,6,3,2,6,5,1,6,5,7,7,8,7,7,6,This Stroop task has no feedback,2,1,1,1,1,2,2,3,3,2,2,2,3,2,3,2,2,3,1,3,2,1,0,1,2,0,1,2,1,2,1,2,5,1,0,-1,-1,3,3,4,2,4,3,2,2,1,5,4,1,1,2,1,5,6,3,4,4,3,4,3,7,6,5,2,8,2,5,1,1,8/28/14,ERS,75,SR-II,10,7,A,Monday,5,No (2 missed),Leaned against wall for clipboard portion,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,5,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,217.9999963,5,28,12,13,17,14,15,16,11,34,NA,NA,36,35,19,18,17,7,8,9,6,10,33,6,21,20,19,22,29,31,37,27,30,0,32,26,23,25,24,2,23,6,2,4,3,1,0,8/28/14 13:36,8/28/14,13:36,8,28,14,0,28,8/28/14,8,28,14,0,28,8/25/14,8,25,14,0,25,0.032608696,0.032608696,Pass,2.5,6.5,1.5,4,2.5,2.466666667,5,3.166666667,5,4,6,2.5,HighPower,3,0,Credentials,Male,BestGrade,0,1,1,1,0,3,+,CommunalMale,Communal,MaleTarget,7.2,-0.015873016,1,0
AshlandUniversity,35,344,7413320,2,357,327,354,351,348,345,342,339,336,330,3,6,2,4,3,6,6,5,6,6,2,3,3,7,7,8,7,9,6,This Stroop task has no feedback,1,1,1,1,1,2,2,2,4,3,4,3,4,2,4,3,2,3,3,4,2,1,1,1,2,1,1,2,1,2,2,2,5,1,0,-1,-1,3,2,3,2,3,3,4,3,1,4,4,1,1,2,2,3,5,3,4,4,3,6,2,6,7,6,1,8,2,5,1,1,9/11/14,ERS,72,SR-II,10,5,C,Monday,5,N/A,Participant leaned against the wall while filling out the survey. Also took about 40 minutes to complete the experiment.,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,3,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,57.99999156,21,34,10,12,15,11,14,13,20,28,NA,NA,36,35,23,22,21,17,18,19,16,5,27,15,25,24,23,26,33,32,37,31,29,0,30,9,6,8,7,2,23,6,2,4,3,1,6,9/11/14 14:52,9/11/14,14:52,9,11,14,31,42,9/11/14,9,11,14,31,42,8/25/14,8,25,14,0,25,0.184782609,0.184782609,Fail,5,6,3,5.5,5.5,2.733333333,5.5,3.333333333,4,4,5,2.5,HighPower,4,0,Credentials,Female,BestGrade,0,1,1,0,1,3,+,CommunalMale,Communal,MaleTarget,7.6,0.150793651,1,0
MichiganStateUniversity,187,1470,7526741,5,357,330,354,351,348,345,342,339,336,333,3,4,1,6,2,6,1,6,1,5,2,7,3,7,6,7,7,5,6,This Stroop task has no feedback,1,1,1,1,1,3,3,2,3,2,3,1,3,4,4,3,1,3,4,3,2,2,0,3,1,0,1,2,1,2,2,2,5,1,0,-1,-1,3,2,3,2,4,4,3,2,1,3,3,1,1,4,2,3,4,1,5,4,1,6,4,6,5,4,1,8,2,5,1,2,10/29/14,C.K./V.C.,70,SR-II,10,6,A,Friday,5,Yes,Participant tried to hand the clipboard back to me after finishing the first page.,9/8/14,12/5/14,88,1,1,1,0,0,0,7,0.25,0,3,0,1,1,1,1,0,0,0,1,4,104,2988,17500,332,1,0,0,3,1,1,0.15,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Plastic,66.00000097,2,33,7,11,8,12,9,10,17,30,NA,NA,36,35,19,18,17,14,15,16,13,3,28,13,5,4,4,6,34,29,37,32,31,0,27,26,23,25,24,20,3,23,20,22,21,1,6,10/29/14 10:03,10/29/14,10:03,10,29,14,61,90,10/29/14,10,29,14,61,90,9/8/14,9,8,14,31,39,0.579545455,0.579545455,Pass,5.5,6,6.5,5.5,1,2.933333333,5.5,3.333333333,3,3,4,1.25,HighPower,4,0,Credentials,Female,BestGrade,0,0,1,0,1,2,-,CommunalMale,Communal,MaleTarget,6.4,0.150793651,1,0
MiamiUniversity,68,1622,7539290,4,357,330,354,351,348,345,342,339,336,333,4,3,1,6,3,3,2,6,6,6,2,5,3,6,4,6,7,5,4,This Stroop task has no feedback,1,1,1,1,1,3,1,1,3,4,3,3,3,2,4,4,2,3,4,4,2,2,0,3,2,2,1,2,2,2,2,2,5,1,0,-1,-1,2,2,4,2,4,2,2,2,1,3,4,1,1,4,1,1,6,3,4,3,4,6,3,7,7,4,2,8,2,4,1,-24,11/4/14,BTH,70,SR-II,20,6,A,Friday,5,Yes,participant smelled of marijuana,9/2/14,12/5/14,94,1,1,1,0,1,0,12,0.5,1,3,0,1,0,0,0,0,0,1,1,2,100,650,7800,100,1,0,0,3,1,0,-1,Participants can receive credit at the beginning of the semester for taking part in the _mass survey_. This is a large survey given to students at the beginning of the semester as a way to pre-test participants. ,Metal,36.00000339,4,33,21,24,25,23,22,26,3,28,NA,NA,36,35,10,9,8,6,7,8,5,2,31,5,12,11,11,13,32,30,37,27,29,0,34,20,17,19,18,13,8,15,14,16,15,1,3,11/4/14 17:11,11/4/14,17:11,11,4,14,92,96,11/4/14,11,4,14,92,96,9/2/14,9,2,14,31,33,0.670212766,0.670212766,Fail,5.5,4.5,4,5.5,2.5,2.8,6,3,3,4,6,3,HighPower,5,0,Credentials,Female,BestGrade,0,0,1,1,0,2,-,CommunalMale,Communal,MaleTarget,5.6,-0.182539683,1,0
PennStateAbington,25,265,7407412,2,357,329,354,351,348,345,342,339,336,333,8,5,1,6,4,7,6,7,6,7,1,5,1,7,8,8,8,7,6,This Stroop task has no feedback,1,1,1,1,1,2,2,2,3,4,4,4,4,4,3,4,4,4,3,4,2,1,0,2,2,0,1,2,2,2,2,2,5,1,0,-1,-1,3,3,4,1,1,3,4,1,2,4,4,1,4,2,1,4,5,4,4,3,5,6,2,6,7,7,2,8,2,5,3,-34,9/9/14,JMM,68,II-SR,10,6,A,Friday,5,Yes,completed tasks out of order! Completed both parts of the computer-based tasks and then filled out the questions on the cipboard,8/24/14,12/1/14,99,1,1,0,1,0,0,3,0.5,1,3,0,1,0,1,0,0,0,1,1,2,10,350,850,50,1,0,0,3,1,1,0.1,"We have course assistants that record participation points, but we don_t have anyone overseeing the participant pool overall, so no one allocates hours to researchers. It operates on a _first come, first served_ basis. Our psychology program is solely undergraduate, so most users are either faculty with undergrad research assistants and honors students running their projects.",Plastic,118.000005,5,28,21,26,24,22,25,23,20,33,NA,NA,36,35,15,14,13,10,11,12,9,13,32,9,3,2,2,4,34,30,37,29,27,0,31,19,16,18,17,16,8,5,6,8,7,1,-2,9/9/14 14:27,9/9/14,14:27,9,9,14,31,40,9/9/14,9,9,14,31,40,8/24/14,8,24,14,0,24,0.161616162,0.161616162,Fail,7,7,4,5.5,4.5,3,5,4.333333333,4,4,5,3.5,HighPower,5,0,Credentials,Female,BestGrade,0,1,0,1,0,2,-,CommunalMale,Communal,MaleTarget,7.6,1.150793651,1,0
TexasAandM,130,2251,7604858,4,357,330,354,351,348,345,342,339,336,336,4,3,1,3,3,5,2,5,5,5,5,5,3,6,3,3,3,3,6,This Stroop task has no feedback,1,1,1,1,1,2,2,2,4,3,2,2,2,3,1,4,2,3,1,2,1,1,0,2,2,2,1,2,2,2,2,2,5,1,0,-1,-1,2,2,1,1,4,4,4,2,1,3,5,1,1,4,2,2,6,3,4,4,4,1,3,6,6,2,1,7,3,5,2,4,12/2/14,bd,73,II-SR,20,6,B,Monday,4,"No, 0/4",Sat down on the floor,9/15/14,12/9/14,85,1,1,0,0,0,0,7,0.5,0,5,0,1,1,0,0,0,0,1,1,2,84,2842,19898,1000,1,0,0,1,1,1,0.1,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,92.99999219,5,28,7,12,11,9,8,10,4,34,NA,NA,36,35,3,2,2,17,18,19,16,6,29,15,14,13,12,15,33,27,37,31,30,0,32,23,20,22,21,23,3,15,24,26,25,1,4,12/2/14 16:51,12/2/14,16:51,12,2,14,122,124,12/2/14,12,2,14,122,124,9/15/14,9,15,14,31,46,0.917647059,0.917647059,Fail,5,4,3,5,2.5,2.466666667,6,3.333333333,3,5,6,2.75,HighPower,5,0,Credentials,Female,BestGrade,1,1,1,0,1,4,+,CommunalMale,Communal,MaleTarget,3.6,0.150793651,1,1
UniversityOfVirginia,50,807,7459818,5,357,330,354,351,348,345,342,339,336,333,1,4,1,6,2,5,6,6,2,7,3,2,3,7,6,8,8,8,7,This Stroop task has no feedback,2,1,1,1,1,2,1,1,3,2,3,2,3,3,3,3,2,3,2,3,1,2,0,3,1,0,1,2,2,2,2,2,5,1,0,-1,-1,4,4,1,3,4,2,2,3,2,5,4,1,2,2,1,5,2,4,2,3,5,6,4,7,7,6,1,9,2,5,1,41,10/2/14,DK,72,II-SR,20,7,A,Monday,5,Yes,,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,"We have course assistants that record participation points, but we don_t have anyone overseeing the participant pool overall, so no one allocates hours to researchers. It operates on a _first come, first served_ basis. Our psychology program is solely undergraduate, so most users are either faculty with undergrad research assistants and honors students running their projects.",Metal,144.9999968,12,29,21,26,24,22,25,23,2,32,NA,NA,36,35,20,19,18,9,10,11,8,7,34,8,17,16,16,18,31,28,37,30,27,0,33,6,3,5,4,17,3,21,13,15,14,1,10,10/2/14 12:48,10/2/14,12:48,10,2,14,61,63,10/2/14,10,2,14,61,63,9/1/14,9,1,14,31,32,0.326315789,0.326315789,Pass,5.5,5,6,6.5,6,2.4,4,2.166666667,5,4,2,4,HighPower,5,0,Credentials,Male,BestGrade,1,0,0,1,1,3,+,CommunalMale,Communal,MaleTarget,7.4,-1.015873016,1,0
UniversityOfVirginia,83,1101,7487165,5,357,330,354,351,348,345,342,339,336,333,8,2,1,6,6,5,6,5,3,5,2,4,5,5,4,6,6,6,6,This Stroop task has no feedback,2,1,1,1,1,3,3,2,2,2,3,3,3,3,4,4,3,3,3,4,2,2,1,2,1,0,3,2,2,2,2,2,5,1,0,-1,-1,5,5,3,2,3,4,2,3,2,4,4,1,1,3,2,6,5,5,2,2,4,6,3,6,7,5,2,8,2,6,4,41,10/15/14,MJ,74,SR-II,10,5,C,Friday,5,N/A,,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Metal,90.00000281,25,29,5,7,8,10,9,6,11,32,NA,NA,36,35,13,12,11,15,16,17,14,26,28,13,19,18,17,20,27,30,37,34,33,0,31,24,21,23,22,23,3,21,2,4,3,1,-1,10/15/14 12:33,10/15/14,12:33,10,15,14,61,76,10/15/14,10,15,14,61,76,9/1/14,9,1,14,31,32,0.463157895,0.463157895,Pass,4,5.5,5.5,3.5,5,2.866666667,3,3.166666667,4,4,5,4.25,HighPower,5,0,Credentials,Male,BestGrade,0,0,0,0,0,0,-,CommunalMale,Communal,MaleTarget,5.4,-0.015873016,1,0
UniversityOfVirginia,94,1171,7492602,5,357,330,354,351,348,345,342,339,336,333,7,2,2,5,2,6,1,7,5,6,2,7,6,7,4,6,3,7,6,This Stroop task has no feedback,2,1,1,1,1,2,2,1,4,3,3,4,4,2,3,1,3,2,4,4,1,2,2,1,2,1,1,2,1,2,2,2,5,1,0,-1,-1,2,1,2,2,2,2,4,2,1,3,4,1,2,2,2,5,5,5,5,4,3,6,2,7,7,6,2,9,1,4,3,41,10/17/14,MJ,71,II-SR,20,5,B,Monday,2,Yes,,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Metal,108.0000001,2,29,19,23,22,20,24,21,6,28,NA,NA,36,35,26,25,24,12,13,14,11,10,32,11,8,7,7,9,27,33,37,34,30,0,31,18,15,17,16,23,3,23,3,5,4,1,0,10/17/14 12:41,10/17/14,12:41,10,17,14,61,78,10/17/14,10,17,14,61,78,9/1/14,9,1,14,31,32,0.484210526,0.484210526,Pass,4.5,6,4,6,1,2.533333333,6.5,3.333333333,3,4,5,2.75,HighPower,4,0,Credentials,Male,BestGrade,1,0,1,0,0,2,-,CommunalMale,Communal,MaleTarget,5.4,0.150793651,1,0
TexasAandM,162,2390,7612860,2,357,330,354,351,348,345,342,339,336,333,5,2,1,4,5,6,6,6,6,6,1,6,1,8,5,1,7,1,2,This Stroop task has no feedback,1,1,1,1,1,2,2,1,4,4,3,3,4,4,4,4,3,4,3,4,1,1,0,3,1,0,1,2,2,2,2,2,5,1,0,-1,-1,6,5,2,4,4,3,3,4,2,3,3,1,1,4,1,2,6,2,2,4,5,6,2,7,7,4,2,7,2,4,2,4,12/4/14,es,73,II-SR,20,7,C,Monday,5,N/A,Leaning,9/15/14,12/9/14,85,1,1,0,0,0,0,7,0.5,0,5,0,1,1,0,0,0,0,1,1,2,84,2842,19898,1000,1,0,0,1,1,1,0.1,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Plastic,60.00000522,10,29,11,15,14,16,13,12,2,30,NA,NA,36,35,26,25,24,19,20,21,18,17,28,17,23,22,22,24,27,34,37,31,33,0,32,9,6,8,7,23,18,5,3,5,4,1,2,12/4/14 14:55,12/4/14,14:55,12,4,14,122,126,12/4/14,12,4,14,122,126,9/15/14,9,15,14,31,46,0.941176471,0.941176471,Fail,6.5,6.5,3,4.5,4,3.133333333,2.5,2.333333333,3,3,6,3.25,HighPower,5,0,Credentials,Female,BestGrade,1,1,0,1,0,3,+,CommunalMale,Communal,MaleTarget,4.4,-0.849206349,1,0
UCDavis,75,2021,7573089,1,357,330,354,351,348,345,342,339,336,333,9,3,1,5,6,6,6,6,5,6,3,4,5,6,4,4,3,3,2,This Stroop task has no feedback,1,1,1,1,1,2,2,1,3,2,2,2,3,3,3,2,2,2,2,4,1,2,1,2,1,0,1,2,2,2,2,2,5,1,0,-1,-1,5,5,2,2,4,3,4,3,2,3,4,2,3,4,1,4,5,3,3,3,4,5,2,5,5,4,1,8,2,4,4,1,11/20/14,NB,72,SR-II,10,6,B,Friday,5,Yes,person bring the chair here and do the second part while sitting down,10/2/14,12/12/14,71,1,1,1,1,0,0,6,0.5,0,5,0,1,1,1,1,0,1,1,1,3,31,2000,12000,700,0,1,0,1,1,1,0.23,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Metal,56.00000429,7,28,13,18,17,16,15,14,22,27,NA,NA,36,35,9,8,8,24,25,26,23,2,30,22,11,10,10,12,32,33,37,34,31,0,29,6,3,5,4,13,8,15,19,21,20,1,-4,11/20/14 16:09,11/20/14,16:09,11,20,14,92,112,11/20/14,11,20,14,92,112,10/2/14,10,2,14,61,63,0.690140845,0.690140845,Fail,4.5,5.5,4,4,5,2.466666667,3,3,3,4,5,3.25,HighPower,5,0,Credentials,Female,BestGrade,1,0,0,1,1,3,+,CommunalMale,Communal,MaleTarget,4,-0.182539683,1,0
UniversityOfFlorida,54,607,7437937,4,357,330,354,351,348,345,342,339,336,333,10,5,1,7,5,5,2,6,1,5,4,3,1,8,5,5,6,5,6,This Stroop task has no feedback,1,1,1,1,1,3,3,3,3,3,2,2,4,4,4,4,2,3,4,4,1,1,-3,3,1,0,1,1,1,2,2,2,5,1,0,-1,-1,2,1,1,2,3,2,5,4,1,4,3,1,1,4,1,1,5,3,3,4,2,5,2,6,6,5,1,8,2,5,2,1,9/23/14,DM,72,II-SR,20,7,C,Monday,4,N/A,Cant used their data/Non-consenting,8/27/14,12/12/14,107,1,1,0,0,0,0,4,0.5,0,3,0,1,0,0,0,0,0,1,1,2,26,600,2500,140,1,0,0,1,1,1,0.33,"Online studies are not offered until 10/13/14, so students who participate early (i.e., from 09/08/14 until 10/12/14) must do in person studies.",Plastic,236.0000011,13,30,21,23,26,25,24,22,17,33,NA,NA,36,35,19,18,18,6,7,8,5,20,32,5,3,2,2,4,29,27,37,34,28,0,31,12,9,11,10,23,3,23,14,16,15,1,-7,9/23/14 14:49,9/23/14,14:49,9,23,14,31,54,9/23/14,9,23,14,31,54,8/27/14,8,27,14,0,27,0.252336449,0.252336449,Pass,6.5,4.5,7,4,3.5,3.333333333,6.5,2.833333333,4,3,5,2.5,HighPower,3,0,Credentials,Female,BestGrade,1,1,1,1,1,5,+,CommunalMale,Communal,MaleTarget,5.8,-0.349206349,1,0
